LSOA,Predicted IMD Score
E01012162,24.069538
E01012163,12.471374
E01012164,20.111914
E01012165,38.927235
E01012096,48.657314
E01012136,37.035603
E01033473,43.454273
E01012112,53.713203
E01012145,27.473797
E01012147,8.681358
E01012149,10.984535
E01012132,37.592876
E01012134,35.059673
E01012137,21.322733
E01012181,29.822775
E01012117,36.279476
E01012118,27.424414
E01012119,27.913084
E01012121,46.625286
E01032548,3.1280115
E01032549,4.296776
E01033472,16.436275
E01012120,11.925257
E01012124,4.657961
E01012182,4.6413784
E01012183,5.7268476
E01012148,55.97093
E01012150,60.250683
E01012151,16.945244
E01012152,12.841703
E01032594,12.207917
E01012146,9.987481
E01012167,21.34538
E01012168,33.335644
E01012170,75.0544
E01012173,22.49817
E01012174,12.490394
E01033470,46.83819
E01012242,13.577928
E01012243,9.451233
E01012244,10.188197
E01012246,6.29457
E01012296,15.898252
E01012297,5.1459045
E01012197,33.66219
E01012256,10.377197
E01012257,8.094938
E01012275,30.801683
E01012276,34.735832
E01012277,27.994915
E01012196,27.583082
E01012198,56.909107
E01012214,31.687757
E01012215,48.38456
E01012216,35.60232
E01012245,48.208164
E01012278,32.68656
E01012279,16.761766
E01012280,21.676783
E01012281,40.08401
E01012255,7.2497435
E01012269,9.133418
E01012294,6.3451376
E01012295,16.2224
E01033476,2.849613
E01033480,4.324484
E01012210,3.7641943
E01012211,6.8378
E01012212,6.8456144
E01012213,16.898436
E01012192,24.559664
E01012193,36.95628
E01012260,17.473164
E01012261,13.029705
E01012247,40.666386
E01012249,45.42832
E01012271,48.750286
E01012272,22.604328
E01012273,49.45334
E01012274,38.222534
E01012248,35.81166
E01012250,53.301727
E01032542,41.64753
E01032543,56.69513
E01032544,19.466955
E01012194,32.865063
E01012195,67.67907
E01012258,44.95834
E01012259,26.3886
E01012268,53.07766
E01012187,16.62294
E01012188,5.0001907
E01012189,12.799458
E01012205,14.131542
E01012219,18.07992
E01012251,41.365158
E01012252,61.445705
E01012253,36.779713
E01012254,51.504223
E01012204,9.788521
E01012206,27.09833
E01012207,15.865799
E01012208,6.0256176
E01012262,46.63771
E01012264,22.615948
E01012266,80.968056
E01012267,65.94727
E01033477,74.29593
E01012190,8.11539
E01012191,16.1418
E01012224,7.438079
E01012225,7.980115
E01012226,7.511794
E01012209,13.988583
E01012217,39.62212
E01012218,13.588989
E01012223,4.332657
E01012286,61.398552
E01012287,28.727695
E01012288,55.26369
E01012289,26.267685
E01012238,45.880627
E01012239,31.563997
E01012240,22.002953
E01012241,14.991686
E01012290,17.112436
E01012291,42.02484
E01012292,27.229382
E01012282,32.94093
E01012283,53.05384
E01012284,58.901394
E01012285,30.958372
E01012199,2.9395597
E01012200,9.726184
E01012201,4.440254
E01012202,13.072059
E01012203,6.9918766
E01012270,12.686468
E01012228,7.26484
E01012230,7.5598745
E01012233,4.9377193
E01012236,7.3175077
E01012237,3.8276803
E01012227,6.0402946
E01012231,3.1738164
E01012232,4.0603523
E01012234,3.0375078
E01033474,7.4317827
E01033475,4.274742
E01033478,2.6960523
E01033479,3.935171
E01012235,4.904089
E01012298,1.6178167
E01012299,5.9368963
E01012300,19.175686
E01012301,3.6378248
E01012302,4.681837
E01012303,5.410639
E01008246,21.575848
E01008247,24.784588
E01008248,6.7297926
E01008249,11.089961
E01008250,14.466631
E01008195,15.66588
E01008197,12.657623
E01008198,23.826105
E01008199,12.694626
E01008200,8.355814
E01008245,10.450524
E01008214,69.82877
E01008215,55.071102
E01008243,15.798181
E01008244,21.129326
E01008178,18.71014
E01008180,39.697994
E01008182,30.162043
E01008277,19.825768
E01008280,35.65747
E01008177,16.45402
E01008179,12.910183
E01008181,13.698808
E01008276,26.035788
E01008279,14.585166
E01008209,24.444714
E01008210,34.67349
E01008258,38.098103
E01008259,48.677437
E01008167,30.722294
E01008169,31.286171
E01008170,39.70055
E01008171,27.040716
E01008257,57.062187
E01008262,29.990974
E01008263,34.656033
E01008264,3.7945173
E01008265,19.92662
E01008266,11.877424
E01008251,23.737043
E01008252,29.118055
E01008253,33.38956
E01008254,30.998137
E01008255,27.383678
E01008165,42.441162
E01008201,62.82806
E01008202,27.155874
E01008204,54.98372
E01008212,53.925293
E01008213,28.312092
E01008216,52.212498
E01008228,39.333725
E01008206,17.014091
E01008207,7.8078194
E01008208,30.362606
E01008211,21.982874
E01008283,9.455995
E01008284,14.892858
E01008286,26.17822
E01008287,10.714543
E01008231,40.713593
E01008240,32.47527
E01008241,31.83056
E01008242,36.847305
E01008281,37.038067
E01008282,36.93836
E01008219,28.676
E01008235,10.422725
E01008236,25.292866
E01008237,5.1100273
E01008238,5.921274
E01008267,17.687408
E01008269,4.3723984
E01008270,4.861456
E01008271,3.4061296
E01008275,5.337246
E01008229,23.96053
E01008230,25.504753
E01008232,45.120514
E01008233,13.619425
E01008285,41.602646
E01008256,17.62475
E01008260,11.6675415
E01008261,39.07967
E01008268,14.484674
E01008272,9.290942
E01008273,11.132387
E01008274,22.630209
E01008193,11.380354
E01008194,7.9752207
E01008234,11.064219
E01008239,8.852464
E01008218,56.21999
E01008220,55.588406
E01008221,41.91605
E01008225,23.272177
E01008227,66.48817
E01008184,6.251587
E01008185,32.02867
E01008188,7.747072
E01008278,8.003844
E01008189,41.4033
E01008190,9.986397
E01008191,27.215124
E01008192,33.90903
E01008217,37.254314
E01008183,26.563099
E01008186,34.12866
E01008187,38.063225
E01008196,22.074972
E01008222,32.996548
E01008223,45.89794
E01008224,18.154177
E01008226,28.935966
E01008172,20.088474
E01008173,41.578857
E01008174,24.44122
E01008175,31.075829
E01008176,15.311238
E01008162,20.76636
E01008164,45.202263
E01008166,48.27862
E01008168,34.900826
E01008163,33.179577
E01008203,38.741913
E01008205,10.3685465
E01008294,8.2017975
E01008306,22.957232
E01008307,27.391726
E01008308,17.648085
E01008311,6.025402
E01008312,4.509613
E01008313,9.659198
E01008309,2.9110124
E01008352,18.021233
E01008357,2.645006
E01008358,16.846735
E01033550,3.010906
E01033551,2.7956216
E01008336,36.97568
E01008337,40.343555
E01008338,22.54221
E01008339,38.18918
E01008340,53.221184
E01008341,36.32038
E01008342,18.291197
E01008293,17.18731
E01008456,40.451256
E01008457,48.306606
E01008458,8.717086
E01008459,64.07092
E01008460,46.645004
E01008351,10.154869
E01008354,13.667097
E01008418,4.6024055
E01008420,4.522749
E01008422,4.3853703
E01008424,8.052158
E01008353,21.669334
E01008355,6.739952
E01008356,14.193239
E01008378,5.104204
E01008419,4.7933006
E01008421,5.118294
E01008423,5.591421
E01008317,2.9938962
E01008319,3.4738996
E01008320,13.53446
E01008321,5.3079185
E01008322,6.935313
E01008323,8.057568
E01008295,45.274563
E01008374,13.938551
E01008375,35.400402
E01008376,6.2540293
E01008377,34.708313
E01008379,30.459026
E01008380,65.30563
E01008296,39.597157
E01008297,56.4155
E01008298,34.886517
E01008299,51.088097
E01008314,11.443179
E01008315,10.542241
E01008316,6.601679
E01008318,28.851416
E01008363,11.456436
E01008365,4.537983
E01008366,6.009555
E01008369,10.311725
E01008371,2.0605772
E01008372,10.810819
E01008373,3.761276
E01008400,53.372723
E01008401,36.99479
E01008402,22.395391
E01008403,14.326595
E01008404,26.96025
E01008405,32.968636
E01008443,7.316456
E01008324,43.879288
E01008325,45.17974
E01008326,14.360157
E01008327,55.27665
E01008328,7.7592554
E01008329,25.589737
E01008330,43.37033
E01008300,30.775087
E01008450,36.493412
E01008451,24.77956
E01008452,8.704077
E01008367,9.165262
E01008368,5.78459
E01008370,11.2229395
E01008409,10.110029
E01008411,14.289403
E01008303,63.63571
E01008359,17.128912
E01008360,8.186506
E01008361,19.192137
E01008362,21.698082
E01008364,11.049293
E01008343,16.078802
E01008344,29.507547
E01008345,39.695568
E01008346,21.271822
E01008347,20.063953
E01008348,41.175346
E01008349,22.210949
E01008350,33.005787
E01008430,36.55239
E01008431,21.252201
E01008433,20.23551
E01008434,19.016203
E01008435,35.614655
E01008436,53.528214
E01008381,11.58362
E01008382,50.719223
E01008383,36.67283
E01008384,25.54667
E01008385,31.876856
E01008386,15.7407675
E01008387,20.702366
E01008396,25.730463
E01008398,62.582355
E01008449,30.366436
E01008453,13.88395
E01008455,28.320545
